model,MRR,Hits@1,Hits@3,Hits@10
R-GCN Baseline,0.6141560881217998,0.5417396380618797,0.6485697606538237,0.7521891418563923
R-GCN+Basis,0.613413963131501,0.5423234092235844,0.6436077057793345,0.7510215995329831
R-GCN+DistMultScore,0.6345105415689857,0.5747227086981903,0.6608289550496206,0.7478108581436077
R-GCN dim64+dropout,0.5599461419656174,0.4708114419147694,0.6018680677174547,0.7311733800350263
R-GCN+Basis+DMScore,0.638914771764807,0.5788091068301225,0.6637478108581436,0.7542323409223585
DistMult,0.6647935685673506,0.617338003502627,0.6865148861646234,0.7486865148861647
TransE,0.6309041066807476,0.5878575598365441,0.6395213076474022,0.7238762405137186
