model,MRR,Hits@1,Hits@3,Hits@10
CompGCN (with W_out fix),0.6846860178344608,0.6272621132516054,0.7078225335668418,0.7974314068884997
"CompGCN (previous, no W_out)",0.668087,0.617338,0.687391,0.766492
"R-GCN (final, basis=2+DMscore)",0.709037,0.660537,0.730298,0.79568
DistMult,0.6647935685673506,0.617338003502627,0.6865148861646234,0.7486865148861647
TransE,0.6309041066807476,0.5878575598365441,0.6395213076474022,0.7238762405137186
