model,MRR,Hits@1,Hits@3,Hits@10
"R-GCN (seed=42, original)",0.709037,0.660537,0.730298,0.79568
R-GCN bases=2 neg=5 seed123,0.6995770247523845,0.6476941039112668,0.7250437828371279,0.7918855808523059
DistMult,0.6647935685673506,0.617338003502627,0.6865148861646234,0.7486865148861647
TransE,0.6309041066807476,0.5878575598365441,0.6395213076474022,0.7238762405137186
