model,MRR,Hits@1,Hits@3,Hits@10
TransE,0.6309041066807476,0.5878575598365441,0.6395213076474022,0.7238762405137186
DistMult,0.6647935685673506,0.617338003502627,0.6865148861646234,0.7486865148861647
R-GCN,0.640192406835688,0.574430823117338,0.6710449503794512,0.7656158785755983
